,Pass Yards Allowed,Point After,Sack,Pass TD,Points_y,Fumble Returns,Receiving Yards,Fumbles Lost,Total Yards,Rush Yards Allowed,Away Games_y,Pass Completions,Rush Yards,Pass Yards,Pass Attempts,Safety,Week,Year,Receiving 2PT,Touchdowns,Rush TD,Receptions,Pass 2PT,Rush 2PT,Receiving TD,Blocks,Interception,Points_x,Fumble TD,Pass Interceptions,Rush Attempts,Away Games_x
0,341.0,23,2.0,2,5.0,0,0,0,419,78,1.0,26,2,357,35,0,1,2013,0,0,0,0,0,0,0,0,1,24.0,0,1,3,0.0
1,296.0,16,4.0,1,18.0,0,0,0,371,75,0.0,26,0,322,46,0,2,2013,0,1,0,0,0,0,0,0,2,14.0,0,2,0,1.0
2,319.0,31,4.0,3,6.0,0,0,0,423,104,1.0,29,21,342,46,0,3,2013,0,0,1,0,0,0,0,0,1,37.0,0,1,6,0.0
3,397.0,38,2.0,4,4.0,1,0,0,465,68,1.0,30,2,413,39,0,4,2013,0,0,0,0,0,0,0,0,0,40.0,0,0,4,0.0
4,283.0,26,1.0,2,2.0,0,0,0,347,64,0.0,29,-2,288,35,0,5,2013,0,0,0,0,0,0,0,0,0,23.0,0,0,1,1.0
5,230.0,27,1.0,2,6.0,1,0,0,361,131,0.0,17,11,236,36,0,6,2013,0,0,0,0,0,0,0,0,1,20.0,0,1,2,1.0
6,309.0,35,4.0,5,4.0,0,0,0,386,77,1.0,26,-1,332,34,0,8,2013,0,0,0,0,0,0,0,0,0,43.0,0,0,4,0.0
7,366.0,20,2.0,2,10.0,0,0,0,407,41,0.0,30,-1,382,51,0,9,2013,0,0,0,0,0,0,0,0,2,23.0,0,2,1,1.0
8,383.0,49,1.0,4,3.0,1,0,0,625,242,1.0,34,0,392,41,0,10,2013,0,0,0,0,0,0,0,0,0,39.0,0,0,0,0.0
9,295.0,23,1.0,1,6.0,1,0,0,387,92,1.0,30,-1,305,43,0,11,2013,0,0,0,0,0,0,0,0,1,16.0,0,1,1,0.0
10,271.0,17,1.0,2,5.0,0,0,0,374,103,0.0,23,-6,278,33,0,12,2013,0,0,0,0,0,0,0,0,0,23.0,0,0,4,1.0
11,144.0,7,1.0,1,16.0,1,0,1,188,44,0.0,23,-1,147,38,0,13,2013,0,1,0,0,0,0,0,0,0,10.0,0,0,1,1.0
12,304.0,31,2.0,4,2.0,0,0,0,373,69,1.0,30,3,313,42,0,14,2013,0,0,0,0,0,0,0,0,0,36.0,0,0,3,0.0
13,371.0,16,4.0,1,16.0,1,0,1,432,61,0.0,39,8,393,56,0,15,2013,0,0,1,0,0,0,0,1,2,22.0,0,2,2,1.0
14,239.0,13,6.0,1,17.0,0,0,0,365,126,0.0,30,9,281,44,0,16,2013,0,0,0,0,0,0,0,0,2,13.0,0,2,1,1.0
15,370.0,42,1.0,4,1.0,0,0,0,468,98,1.0,24,8,381,31,0,17,2013,0,0,1,0,0,0,0,0,0,45.0,0,0,2,0.0
16,354.0,19,2.0,1,8.0,0,0,0,408,54,0.0,30,3,355,48,0,1,2015,0,0,0,0,0,0,0,0,1,18.0,0,1,1,1.0
17,219.0,19,4.0,1,16.0,2,0,0,323,104,1.0,24,-1,255,38,0,2,2015,0,0,0,0,0,0,0,1,1,14.0,0,1,1,0.0
18,335.0,26,3.0,2,4.0,0,0,0,438,103,1.0,33,0,359,41,0,4,2015,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0.0
19,292.0,17,5.0,2,17.0,3,0,2,388,96,0.0,26,-1,335,43,0,5,2015,0,0,0,0,0,0,0,0,1,21.0,0,1,1,1.0
20,304.0,31,1.0,1,1.0,0,0,0,385,81,1.0,30,2,312,39,0,6,2015,0,0,0,0,0,0,0,0,0,18.0,0,0,2,0.0
21,266.0,27,2.0,1,5.0,0,0,0,449,183,0.0,28,-4,255,44,0,7,2015,0,0,0,0,0,0,0,0,1,14.0,0,1,4,1.0
22,505.0,52,0.0,7,10.0,0,0,0,608,103,1.0,39,1,505,50,0,8,2015,0,1,0,0,0,0,0,0,2,58.0,0,2,1,0.0
23,355.0,28,4.0,3,10.0,1,0,0,416,61,1.0,28,-1,387,39,0,9,2015,0,0,1,0,0,0,0,1,1,37.0,0,1,3,0.0
24,192.0,14,2.0,2,16.0,0,0,0,350,158,0.0,19,0,209,28,0,10,2015,0,1,0,0,0,0,0,0,2,16.0,0,2,0,1.0
25,218.0,6,2.0,0,14.0,0,0,0,268,50,0.0,25,0,228,44,0,12,2015,0,0,0,0,0,0,0,0,1,7.0,0,1,0,1.0
26,264.0,38,2.0,3,4.0,0,0,0,334,70,1.0,24,12,282,42,0,13,2015,0,0,0,0,0,0,0,0,1,28.0,0,1,1,0.0
27,301.0,24,2.0,2,3.0,0,0,0,388,87,0.0,31,0,312,41,0,14,2015,0,0,0,0,0,0,0,0,0,24.0,0,0,3,1.0
28,330.0,27,1.0,3,2.0,0,0,0,399,69,1.0,34,11,341,52,0,15,2015,0,0,0,0,0,0,0,0,0,32.0,0,0,1,0.0
29,402.0,38,1.0,3,3.0,0,0,0,537,135,1.0,25,-3,412,36,0,16,2015,0,0,0,0,0,0,0,1,0,34.0,0,0,3,0.0
30,323.0,20,0.0,1,6.0,1,0,0,390,67,0.0,32,-5,323,42,0,17,2015,0,0,0,0,0,0,0,0,0,18.0,0,0,3,1.0
31,326.0,32,2.0,3,6.0,0,0,0,358,32,1.0,24,0,339,52,0,1,2012,0,0,0,0,0,0,0,0,2,27.0,0,2,0,0.0
32,323.0,27,1.0,1,12.0,0,0,0,486,163,0.0,31,0,325,49,0,2,2012,0,1,1,0,0,0,0,0,2,21.0,0,2,2,1.0
33,205.0,24,4.0,3,9.0,0,0,0,288,83,1.0,20,-1,240,36,1,3,2012,0,0,0,0,0,0,0,0,1,25.0,0,1,1,0.0
34,429.0,27,2.0,3,3.0,0,0,0,474,45,0.0,35,0,446,54,0,4,2012,0,0,0,0,0,0,0,0,0,35.0,0,0,0,1.0
35,351.0,31,3.0,4,5.0,0,0,0,404,53,1.0,29,-2,370,45,0,5,2012,0,0,0,0,0,0,0,0,1,36.0,0,1,2,0.0
36,377.0,35,0.0,4,2.0,0,0,0,458,81,0.0,27,1,377,37,0,7,2012,0,0,0,0,0,0,0,0,1,37.0,0,1,1,1.0
37,201.0,14,1.0,2,7.0,0,0,0,252,51,0.0,22,2,213,42,0,8,2012,0,0,0,0,0,0,0,0,1,18.0,0,1,2,1.0
38,231.0,28,2.0,2,6.0,2,0,1,371,140,1.0,21,-1,239,27,0,9,2012,0,0,0,0,0,0,0,0,0,20.0,0,0,1,0.0
39,292.0,31,1.0,3,3.0,0,0,0,440,148,1.0,21,-1,298,32,0,10,2012,0,0,0,0,0,0,0,0,1,27.0,0,1,1,0.0
40,229.0,38,0.0,3,0.0,0,0,0,380,151,0.0,20,0,219,27,0,11,2012,0,0,0,0,0,0,0,0,0,26.0,0,0,0,1.0
41,231.0,21,5.0,3,22.0,0,0,0,290,59,1.0,26,-2,267,41,0,12,2012,0,2,0,0,0,0,0,0,2,24.0,0,2,2,0.0
42,335.0,13,1.0,0,18.0,0,0,0,436,101,0.0,28,0,341,50,0,13,2012,0,0,0,0,0,0,0,0,5,3.0,0,5,0,1.0
43,345.0,27,1.0,1,16.0,2,0,0,487,142,0.0,26,-1,354,43,0,14,2012,0,1,0,0,0,0,0,0,2,16.0,0,2,1,1.0
44,298.0,41,1.0,4,1.0,0,0,0,447,149,1.0,26,11,307,39,0,15,2012,0,0,0,0,0,0,0,0,0,37.0,0,0,1,0.0
45,446.0,34,0.0,3,0.0,0,0,0,562,116,0.0,37,-1,446,53,0,16,2012,0,0,0,0,0,0,0,0,0,35.0,0,0,1,1.0
46,378.0,38,2.0,4,4.0,0,0,0,441,63,1.0,29,0,396,43,0,17,2012,0,0,0,0,0,0,0,0,1,37.0,0,1,0,0.0
47,333.0,34,0.0,1,4.0,1,0,0,472,139,0.0,29,2,333,42,0,1,2014,0,0,0,0,0,0,0,0,1,17.0,0,1,1,1.0
48,223.0,24,2.0,2,13.0,1,0,0,397,174,0.0,27,3,237,40,0,2,2014,0,1,0,0,0,0,0,0,1,19.0,0,1,1,1.0
49,334.0,17,2.0,2,12.0,2,0,0,438,104,0.0,32,6,340,44,0,4,2014,0,0,0,0,0,0,0,0,1,23.0,0,1,1,1.0
50,371.0,37,0.0,2,12.0,0,0,0,511,140,1.0,35,-1,371,57,0,5,2014,0,1,0,0,0,0,0,0,3,20.0,0,3,1,0.0
51,335.0,23,1.0,2,6.0,1,0,0,408,73,0.0,28,13,342,45,0,7,2014,0,0,0,0,0,0,0,0,1,24.0,0,1,1,1.0
52,302.0,44,2.0,3,4.0,1,0,0,495,193,1.0,27,6,311,32,0,8,2014,0,0,0,0,0,0,0,0,0,30.0,0,0,1,0.0
53,270.0,28,4.0,1,8.0,1,0,1,375,105,0.0,24,2,297,34,0,9,2014,0,0,1,0,0,0,0,0,1,20.0,0,1,4,1.0
54,287.0,24,2.0,3,9.0,1,0,1,423,136,1.0,28,7,292,47,0,10,2014,0,0,0,0,0,0,0,0,2,24.0,0,2,2,0.0
55,255.0,10,0.0,1,9.0,1,0,0,330,75,1.0,33,3,255,41,0,11,2014,0,0,0,0,0,0,0,0,0,16.0,0,0,1,0.0
56,399.0,27,4.0,3,13.0,0,0,0,525,126,1.0,35,15,420,45,0,12,2014,0,1,0,0,0,0,0,0,1,33.0,0,1,3,0.0
57,250.0,35,1.0,5,1.0,0,0,0,393,143,0.0,19,0,257,27,0,13,2014,0,0,0,0,0,0,0,0,0,40.0,0,0,0,1.0
58,218.0,10,2.0,1,13.0,1,0,0,310,92,1.0,29,6,235,49,0,14,2014,0,0,0,0,0,0,0,0,1,13.0,0,1,1,0.0
59,360.0,31,2.0,3,4.0,1,0,0,443,83,0.0,29,2,375,36,0,15,2014,0,0,0,0,0,0,0,0,0,33.0,0,0,3,1.0
60,271.0,14,5.0,1,23.0,2,0,1,328,57,1.0,30,8,313,47,0,16,2014,0,1,0,0,0,0,0,0,2,13.0,0,2,2,0.0
61,268.0,23,2.0,1,9.0,0,1,0,338,70,0.0,24,-2,281,38,0,17,2014,0,0,0,1,0,0,0,0,3,11.0,0,3,2,1.0
62,396.0,34,3.0,3,11.0,1,0,0,477,81,0.0,32,3,419,49,0,1,2011,0,1,0,0,0,0,0,0,0,34.0,0,0,1,1.0
63,264.0,30,1.0,3,3.0,1,0,0,382,118,1.0,26,2,270,37,0,2,2011,0,0,0,0,0,0,0,0,0,28.0,0,0,1,0.0
64,354.0,40,2.0,3,6.0,0,0,0,454,100,1.0,31,-1,370,44,0,3,2011,0,0,0,0,2,0,0,0,2,32.0,0,2,4,0.0
65,326.0,23,3.0,1,8.0,0,0,0,503,177,0.0,31,10,351,44,0,4,2011,0,0,0,0,0,0,0,0,2,17.0,0,2,3,1.0
66,343.0,30,2.0,2,4.0,0,0,0,444,101,0.0,32,0,359,45,0,5,2011,0,0,0,0,0,0,0,0,1,24.0,0,1,0,1.0
67,383.0,20,0.0,1,12.0,1,0,0,453,70,0.0,29,21,383,45,0,6,2011,0,0,0,0,0,0,0,0,3,17.0,0,3,3,1.0
68,321.0,62,2.0,5,2.0,0,0,0,557,236,1.0,31,0,325,35,0,7,2011,0,0,0,0,0,0,0,0,0,43.0,0,0,0,0.0
69,227.0,21,6.0,1,19.0,0,0,0,283,56,0.0,30,-1,269,44,0,8,2011,0,1,0,0,0,0,0,1,2,12.0,0,2,1,1.0
70,258.0,27,0.0,2,3.0,0,0,0,453,195,1.0,27,20,258,36,0,9,2011,0,0,0,0,0,0,0,0,1,22.0,0,1,1,0.0
71,322.0,26,0.0,2,1.0,0,0,0,363,41,0.0,30,0,322,43,0,10,2011,0,0,0,0,0,0,0,0,0,24.0,0,0,0,1.0
72,372.0,49,0.0,4,0.0,0,0,0,577,205,1.0,24,8,363,38,0,12,2011,0,0,1,0,0,0,0,0,0,44.0,0,0,1,0.0
73,338.0,31,2.0,3,2.0,0,0,0,438,100,1.0,26,0,342,36,0,13,2011,0,0,0,0,0,0,0,0,0,31.0,0,0,0,0.0
74,323.0,22,2.0,2,3.0,0,0,0,437,114,0.0,36,6,337,47,0,14,2011,0,0,0,0,0,0,0,0,0,25.0,0,0,2,1.0
75,299.0,45,1.0,4,5.0,0,0,0,463,164,1.0,23,9,307,39,0,16,2011,0,0,0,0,0,0,0,0,2,32.0,0,2,1,0.0
76,409.0,45,0.0,5,2.0,0,0,0,617,208,1.0,28,5,389,35,0,17,2011,0,0,0,0,0,0,0,0,1,43.0,0,1,1,0.0
77,237.0,25,2.0,2,3.0,0,7,0,287,50,0.0,28,0,254,38,0,2,2010,0,0,0,1,0,0,0,0,0,22.0,0,0,0,1.0
78,355.0,24,2.0,3,9.0,1,0,0,398,43,1.0,30,0,365,38,0,3,2010,0,0,0,0,0,0,0,0,2,28.0,0,2,0,0.0
79,262.0,16,2.0,1,10.0,2,0,0,383,121,1.0,33,-1,275,48,0,4,2010,0,0,0,0,0,0,0,0,0,17.0,0,0,1,0.0
80,273.0,20,1.0,2,25.0,1,0,0,358,85,0.0,24,2,279,39,0,5,2010,0,2,0,0,0,0,0,0,3,17.0,0,3,2,1.0
81,263.0,31,0.0,3,2.0,0,0,0,475,212,0.0,21,2,263,32,0,6,2010,0,0,0,0,0,0,0,0,1,26.0,0,1,2,1.0
82,336.0,17,3.0,2,27.0,0,0,0,394,58,1.0,37,0,356,56,0,7,2010,0,2,0,0,0,0,0,0,4,18.0,0,4,0,0.0
83,288.0,20,2.0,2,10.0,1,0,1,318,30,1.0,34,-2,305,44,0,8,2010,0,0,0,0,0,0,0,0,1,21.0,0,1,3,0.0
84,243.0,34,1.0,2,3.0,0,0,0,408,165,0.0,27,0,253,43,0,9,2010,0,0,0,0,0,0,0,0,1,20.0,0,1,0,1.0
85,382.0,34,0.0,4,4.0,0,0,0,494,112,1.0,29,0,382,43,0,11,2010,0,0,0,0,0,0,0,0,2,35.0,0,2,0,0.0
86,333.0,30,2.0,1,6.0,1,0,0,414,81,0.0,23,-3,352,39,0,12,2010,0,0,0,0,0,0,0,0,1,18.0,0,1,3,1.0
87,290.0,34,2.0,2,4.0,0,0,0,436,146,0.0,24,0,313,29,0,13,2010,0,0,0,0,0,0,0,0,1,22.0,0,1,0,1.0
88,213.0,31,1.0,3,7.0,1,0,0,345,132,1.0,25,7,221,40,0,14,2010,0,0,0,0,0,0,0,0,2,22.0,0,2,1,0.0
89,242.0,24,3.0,3,6.0,0,0,0,269,27,0.0,29,0,267,46,0,15,2010,0,0,0,0,0,0,0,0,1,26.0,0,1,0,1.0
90,296.0,17,1.0,1,15.0,0,0,0,368,72,0.0,35,-2,302,49,0,16,2010,0,1,0,0,0,0,0,0,2,14.0,0,2,2,1.0
91,199.0,13,3.0,1,16.0,2,0,1,305,106,1.0,22,0,196,38,0,17,2010,0,0,0,0,0,0,0,0,1,10.0,0,1,0,0.0
92,419.0,34,1.0,4,3.0,1,0,1,507,88,1.0,28,5,423,42,0,1,2016,0,0,0,0,0,0,0,0,0,39.0,0,0,2,0.0
93,247.0,13,2.0,1,17.0,0,0,0,288,41,0.0,29,0,263,44,0,2,2016,0,1,0,0,0,0,0,1,0,16.0,0,0,0,1.0
94,359.0,32,2.0,3,12.0,1,0,0,474,115,1.0,36,9,376,54,0,3,2016,0,1,0,0,0,0,0,0,1,31.0,0,1,2,0.0
95,192.0,35,2.0,2,6.0,0,0,0,275,83,0.0,23,-4,207,36,0,4,2016,0,0,0,0,0,0,0,0,2,16.0,0,2,4,1.0
96,460.0,41,1.0,4,3.0,0,0,0,523,63,1.0,34,0,465,49,0,6,2016,0,0,0,0,0,0,0,0,1,40.0,0,1,0,0.0
97,359.0,21,1.0,3,12.0,1,0,0,463,104,0.0,37,0,367,48,0,7,2016,0,1,0,0,0,0,0,0,1,30.0,0,1,0,1.0
98,252.0,25,2.0,1,11.0,1,0,0,375,123,1.0,27,1,265,35,0,8,2016,0,1,1,0,0,0,0,0,0,22.0,0,0,1,0.0
99,323.0,41,1.0,3,1.0,0,0,0,571,248,0.0,28,-2,323,39,0,9,2016,0,0,0,0,0,0,0,0,0,30.0,0,0,2,1.0
100,293.0,23,1.0,3,14.0,2,0,0,373,80,1.0,21,9,303,29,0,10,2016,0,0,0,0,0,0,0,1,2,26.0,0,2,2,0.0
101,264.0,20,3.0,2,13.0,1,0,1,371,107,0.0,35,0,285,44,0,11,2016,0,0,0,0,0,0,0,1,1,20.0,0,1,2,1.0
102,319.0,13,1.0,0,14.0,0,0,0,369,50,1.0,31,0,326,44,0,13,2016,0,0,0,0,0,0,0,0,3,7.0,0,3,0,0.0
103,248.0,11,1.0,0,14.0,0,0,0,294,46,0.0,25,2,257,41,0,14,2016,0,0,0,0,0,0,0,0,3,4.0,0,3,1,1.0
104,358.0,48,3.0,4,11.0,1,0,1,488,130,0.0,37,-2,389,48,0,15,2016,0,1,0,0,0,0,0,0,0,38.0,0,0,2,1.0
105,294.0,31,2.0,1,2.0,0,0,0,417,123,1.0,23,1,299,34,0,16,2016,0,0,0,0,0,0,0,0,0,17.0,0,0,4,0.0
106,341.0,32,2.0,2,4.0,0,0,0,473,132,0.0,29,0,350,50,0,17,2016,0,0,0,0,0,0,0,0,1,24.0,0,1,0,1.0
0,352.0,42,3.0,4,5.0,1,0,0,537,185,,28,3,368,35,0,1,2017,0,0,0,0,0,0,0,0,0,38.0,0,0,5,
1,352.0,42,3.0,0,5.0,1,0,0,537,185,,16,0,267,36,0,1,2017,0,0,0,0,0,0,0,0,0,10.0,0,0,2,
2,263.0,23,1.0,4,16.0,1,0,0,308,45,,29,14,292,41,0,1,2017,0,1,0,0,0,0,0,0,3,34.0,0,1,2,
3,263.0,23,1.0,1,16.0,1,0,0,308,45,,27,2,268,48,0,1,2017,0,1,0,0,0,0,0,0,3,10.0,0,3,1,
4,284.0,19,1.0,3,5.0,0,0,0,344,60,,27,-3,346,32,0,1,2017,0,0,0,0,0,0,0,0,0,31.0,0,0,2,
5,284.0,19,1.0,1,5.0,0,0,0,344,60,,27,0,291,37,0,1,2017,0,0,0,0,0,0,0,0,0,17.0,0,0,0,
6,185.0,21,1.0,2,6.0,0,0,0,249,64,,17,19,219,28,0,1,2017,0,0,1,0,0,0,0,1,1,25.0,0,1,6,
7,185.0,21,1.0,3,6.0,0,0,0,249,64,,22,0,192,33,0,1,2017,0,0,0,0,0,0,0,1,1,23.0,0,1,0,
8,298.0,30,2.0,2,12.0,1,0,1,356,58,,26,6,307,39,0,1,2017,0,1,0,0,1,0,0,0,1,23.0,0,1,4,
9,298.0,30,2.0,1,12.0,1,0,2,356,58,,23,30,240,40,0,1,2017,0,1,0,0,0,0,0,0,1,14.0,0,1,4,
10,250.0,26,2.0,2,3.0,0,0,0,359,109,,22,2,262,32,0,1,2017,0,0,0,0,0,0,0,0,0,22.0,0,0,2,
11,250.0,26,2.0,0,3.0,0,0,0,359,109,,25,26,256,41,0,1,2017,0,0,1,0,0,0,0,0,0,18.0,0,0,3,
12,176.0,12,1.0,2,12.0,0,0,0,214,38,,16,38,224,28,0,1,2017,0,0,0,0,0,0,0,0,2,21.0,0,1,8,
13,176.0,12,1.0,0,12.0,0,0,0,214,38,,26,0,187,39,0,1,2017,0,0,1,0,0,0,0,0,2,9.0,0,2,2,
14,255.0,21,1.0,2,4.0,0,0,0,290,35,,24,-8,263,36,0,1,2017,0,0,0,0,0,0,0,0,1,20.0,0,1,3,
15,255.0,21,1.0,1,4.0,0,0,0,290,35,,20,17,222,30,0,1,2017,0,0,1,0,0,0,0,0,1,19.0,0,1,5,
16,308.0,23,2.0,1,3.0,0,0,0,372,64,,21,11,321,30,0,1,2017,0,0,0,0,0,0,0,0,0,19.0,0,0,3,
17,308.0,23,2.0,1,3.0,0,0,0,372,64,,26,0,213,40,0,1,2017,0,0,0,0,0,0,0,0,0,14.0,0,0,0,
18,135.0,9,3.0,1,12.0,1,0,0,225,90,,28,21,311,42,0,1,2017,0,0,0,0,0,0,0,0,0,18.0,0,1,7,
19,135.0,9,3.0,0,12.0,1,0,1,225,90,,14,40,158,27,0,1,2017,0,0,0,0,0,0,0,0,0,9.0,0,0,2,
20,198.0,3,3.0,1,15.0,0,0,0,233,35,,24,24,268,39,0,1,2017,0,0,0,0,0,0,0,0,1,18.0,0,0,3,
21,198.0,3,3.0,0,15.0,0,0,0,233,35,,29,-1,220,38,0,1,2017,0,0,0,0,0,0,0,0,1,6.0,0,1,1,
22,150.0,9,4.0,1,31.0,1,0,0,225,75,,21,2,306,29,1,1,2017,0,2,0,0,0,0,0,0,2,18.0,0,0,1,
23,150.0,9,4.0,0,31.0,1,0,0,225,75,,2,0,51,3,1,1,2017,0,2,0,0,0,0,0,0,2,2.0,0,0,0,
24,150.0,9,4.0,0,31.0,1,0,0,225,75,,9,2,128,18,1,1,2017,0,2,0,0,0,0,0,0,2,1.0,0,2,2,
